"Name","Activity type","Description"
"Benton Township, OH","walking",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","39.454684","-82.572833","235.0","","6","0","2015-10-11T19:48:42.527Z","","",""
"1","2","39.454717","-82.572747","227.0","31.0","5","0.25","2015-10-11T19:49:18.064Z","","",""
"1","3","39.454742","-82.572709","226.0","47.0","6","1.25","2015-10-11T19:49:18.945Z","","",""
"1","4","39.45476","-82.572597","217.0","","5","0","2015-10-11T19:49:28.006Z","","",""
"1","5","39.454766","-82.572589","217.0","","5","0","2015-10-11T19:49:28.950Z","","",""
"1","6","39.45478","-82.572476","221.0","63.0","5","0.75","2015-10-11T19:49:45.032Z","","",""
"1","7","39.454788","-82.572467","220.0","63.0","5","0.5","2015-10-11T19:49:45.941Z","","",""
"1","8","39.45486","-82.572407","217.0","63.0","10","0.5","2015-10-11T19:50:07.064Z","","",""
"1","9","39.45487","-82.572401","217.0","63.0","10","0.5","2015-10-11T19:50:07.986Z","","",""
"1","10","39.454949","-82.572352","214.0","63.0","11","0.5","2015-10-11T19:50:15.964Z","","",""
"1","11","39.454956","-82.57235","215.0","63.0","10","0.5","2015-10-11T19:50:16.896Z","","",""
"1","12","39.455032","-82.572316","213.0","63.0","11","0.5","2015-10-11T19:50:24.144Z","","",""
"1","13","39.455042","-82.572311","214.0","63.0","11","0.5","2015-10-11T19:50:24.968Z","","",""
"1","14","39.455121","-82.572273","212.0","63.0","11","0.5","2015-10-11T19:50:33.068Z","","",""
"1","15","39.455127","-82.572268","214.0","63.0","10","0.5","2015-10-11T19:50:33.939Z","","",""
"1","16","39.455181","-82.572186","216.0","63.0","10","0.75","2015-10-11T19:50:45.128Z","","",""
"1","17","39.455193","-82.572185","215.0","356.0","10","0.75","2015-10-11T19:50:45.942Z","","",""
"1","18","39.455277","-82.572149","219.0","13.0","11","0.5","2015-10-11T19:50:55.067Z","","",""
"1","19","39.455286","-82.572143","219.0","","10","0","2015-10-11T19:50:55.906Z","","",""
"1","20","39.455349","-82.572063","224.0","46.0","11","0.75","2015-10-11T19:51:05.993Z","","",""
"1","21","39.455356","-82.572055","221.0","42.0","10","0.75","2015-10-11T19:51:06.903Z","","",""
"1","22","39.455425","-82.571987","223.0","36.0","10","0.5","2015-10-11T19:51:20.148Z","","",""
"1","23","39.45543","-82.571974","223.0","","10","0","2015-10-11T19:51:20.946Z","","",""
"1","24","39.455519","-82.571961","225.0","36.0","5","0.75","2015-10-11T19:51:36.030Z","","",""
"1","25","39.455529","-82.571965","225.0","36.0","5","0.75","2015-10-11T19:51:36.923Z","","",""
"1","26","39.455602","-82.572005","234.0","36.0","5","0.5","2015-10-11T19:51:49.026Z","","",""
"1","27","39.455615","-82.572001","232.0","36.0","5","0.5","2015-10-11T19:51:49.955Z","","",""
